name,slug,description,summary,price,originalPrice,currency,stock,inventoryStatus,serialNumber,imageUrl,thumbnailUrl,badges,tags,featured,rating,reviewCount
Leather Laptop Backpack,leather-laptop-backpack,"Professional full-grain leather backpack with padded laptop compartment (fits up to 15.6 inch). Features multiple organizational pockets, USB charging port, and comfortable padded shoulder straps. Perfect for work or travel.",Premium leather backpack with laptop compartment,199.99,249.99,USD,34,IN_STOCK,BAG-LTH-011,https://placehold.co/800x800/a855f7/ffffff?text=Backpack,https://placehold.co/400x400/a855f7/ffffff?text=Backpack,"Premium,Professional","accessories,bag,backpack,leather,laptop",true,4.9,312
Smart LED Light Bulbs (4-Pack),smart-led-light-bulbs-4pack,"Transform your home with smart lighting. Control brightness and color (16 million colors) from your phone or voice assistant. Energy-efficient LED technology, 25000-hour lifespan. Works with Alexa, Google Home, and Siri.",WiFi-enabled color-changing smart bulbs,49.99,69.99,USD,145,IN_STOCK,BLB-SMT-012,https://placehold.co/800x800/f97316/ffffff?text=Bulbs,https://placehold.co/400x400/f97316/ffffff?text=Bulbs,"Smart Home,4-Pack","electronics,smart-home,lighting,led,bulbs",false,4.5,534
Yoga Mat Premium,yoga-mat-premium,"Extra-thick 6mm yoga mat provides superior cushioning and support. Non-slip textured surface, eco-friendly TPE material, lightweight and portable. Includes carrying strap. Perfect for yoga, pilates, and floor exercises.",6mm thick eco-friendly yoga mat with strap,44.99,59.99,USD,98,IN_STOCK,YOG-MAT-013,https://placehold.co/800x800/06b6d4/ffffff?text=Yoga+Mat,https://placehold.co/400x400/06b6d4/ffffff?text=Yoga+Mat,"Fitness,Eco-Friendly","fitness,yoga,mat,exercise,wellness",false,4.6,678
Espresso Coffee Machine,espresso-coffee-machine,"Barista-quality espresso at home with 15-bar pressure pump. Features milk frother, temperature control, and removable water reservoir. Compatible with ground coffee and ESE pods. Stainless steel construction.",15-bar espresso maker with milk frother,299.99,399.99,USD,28,IN_STOCK,COF-ESP-014,https://placehold.co/800x800/78350f/ffffff?text=Coffee,https://placehold.co/400x400/78350f/ffffff?text=Coffee,"Kitchen,Premium","appliances,coffee,espresso,kitchen,home",true,4.8,423
Noise-Canceling Earbuds,noise-canceling-earbuds,"True wireless earbuds with active noise cancellation and transparency mode. Crystal-clear calls with 6-mic system, 8-hour battery (32 hours with case), IPX5 water resistance. Touch controls and wireless charging case.",ANC wireless earbuds with 32hr battery,179.99,229.99,USD,0,PREORDER,EAR-ANC-015,https://placehold.co/800x800/2563eb/ffffff?text=Earbuds,https://placehold.co/400x400/2563eb/ffffff?text=Earbuds,"Pre-Order,New Arrival","electronics,audio,earbuds,wireless,anc",true,4.9,89
Stainless Steel Cookware Set,stainless-steel-cookware-set,"Professional-grade 10-piece stainless steel cookware set. Tri-ply construction for even heating, oven-safe up to 500°F, dishwasher safe. Includes 8 and 10 inch frying pans, 3 saucepans with lids, and stockpot. Lifetime warranty.",10-piece professional stainless steel cookware,399.99,599.99,USD,19,LOW_STOCK,CKW-SS-016,https://placehold.co/800x800/64748b/ffffff?text=Cookware,https://placehold.co/400x400/64748b/ffffff?text=Cookware,"Kitchen,Professional","kitchen,cookware,stainless-steel,cooking",false,4.9,267
Gaming Mouse Pro,gaming-mouse-pro,"High-precision gaming mouse with 20000 DPI sensor, 11 programmable buttons, and customizable RGB lighting. Ergonomic design for extended gaming sessions. On-board memory for saving profiles. Compatible with PC and Mac.",20K DPI gaming mouse with RGB lighting,79.99,99.99,USD,167,IN_STOCK,MOU-GAM-017,https://placehold.co/800x800/dc2626/ffffff?text=Mouse,https://placehold.co/400x400/dc2626/ffffff?text=Mouse,"Gaming,RGB","electronics,gaming,mouse,peripherals,rgb",false,4.7,512
Indoor Plant Grow Light,indoor-plant-grow-light,"Full-spectrum LED grow light perfect for indoor plants, herbs, and succulents. Auto on/off timer, 3 lighting modes, adjustable brightness, and flexible gooseneck design. Energy-efficient and low heat output.",LED grow light with timer for indoor plants,39.99,54.99,USD,203,IN_STOCK,GRW-LED-018,https://placehold.co/800x800/22c55e/ffffff?text=Grow+Light,https://placehold.co/400x400/22c55e/ffffff?text=Grow+Light,"Plants,LED","home,garden,plants,led,lighting",false,4.6,445
Digital Drawing Tablet,digital-drawing-tablet,"Professional graphics tablet with 8192 pressure sensitivity levels and battery-free stylus. 10x6 inch active area, 8 customizable express keys, compatible with Windows, Mac, and popular design software.",Graphics tablet with pen for digital art,149.99,199.99,USD,56,IN_STOCK,TAB-DRW-019,https://placehold.co/800x800/8b5cf6/ffffff?text=Tablet,https://placehold.co/400x400/8b5cf6/ffffff?text=Tablet,"Creative,Professional","electronics,tablet,drawing,design,art",false,4.8,234
Bamboo Cutting Board Set,bamboo-cutting-board-set,"Eco-friendly bamboo cutting board set (3 pieces: small, medium, large). Naturally antimicrobial, gentle on knives, and durable. Juice grooves to catch liquids. Hand wash recommended. Beautiful enough to use as serving boards.",3-piece bamboo cutting board with juice groove,44.99,59.99,USD,142,IN_STOCK,CUT-BAM-020,https://placehold.co/800x800/65a30d/ffffff?text=Cutting+Board,https://placehold.co/400x400/65a30d/ffffff?text=Cutting+Board,"Eco-Friendly,Kitchen","kitchen,cutting-board,bamboo,sustainable,cooking",true,4.7,589
