name,slug,summary,description,price,originalPrice,currency,imageUrl,thumbnailUrl,badges,tags,rating,reviewCount,inventoryStatus,featured,serialNumber,stock,createdAt,updatedAt
Drift Chat Widgets,drift-chat-widgets,Drift Chat Widgets to accelerate modern product teams.,"Drift Chat Widgets provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",148.73,186.58,USD,https://images.pexels.com/photos/3861972/pexels-photo-3861972.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3861972/pexels-photo-3861972.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Staff Pick"", ""Editor Choice""]","[""Design"", ""Marketing""]",3.81,13,OUT_OF_STOCK,FALSE,FS-2039-014,244,2025-01-15T00:00:00Z,2025-01-15T06:00:00Z
Forge UI Patterns,forge-ui-patterns,Forge UI Patterns to accelerate modern product teams.,"Forge UI Patterns provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",148.98,,USD,https://images.pexels.com/photos/3184287/pexels-photo-3184287.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184287/pexels-photo-3184287.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Staff Pick"", ""Trending""]","[""Commerce"", ""UX""]",4.73,164,PREORDER,FALSE,FS-2040-015,215,2025-01-16T00:00:00Z,2025-01-16T06:00:00Z
Beacon Onboarding Flow,beacon-onboarding-flow,Beacon Onboarding Flow to accelerate modern product teams.,"Beacon Onboarding Flow provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",134.01,165.19,USD,https://images.pexels.com/photos/3184296/pexels-photo-3184296.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184296/pexels-photo-3184296.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""React"", ""Commerce"", ""Templates""]",4.79,318,IN_STOCK,TRUE,FS-2041-016,82,2025-01-17T00:00:00Z,2025-01-17T06:00:00Z
Vertex Presentation Deck,vertex-presentation-deck,Vertex Presentation Deck to accelerate modern product teams.,"Vertex Presentation Deck provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",106.95,115.89,USD,https://images.pexels.com/photos/1181244/pexels-photo-1181244.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/1181244/pexels-photo-1181244.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Staff Pick""]","[""UI"", ""Astro""]",4.74,52,LOW_STOCK,FALSE,FS-2042-017,21,2025-01-18T00:00:00Z,2025-01-18T06:00:00Z
Quartz Data Tables,quartz-data-tables,Quartz Data Tables to accelerate modern product teams.,"Quartz Data Tables provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",150.74,,USD,https://images.pexels.com/photos/4491463/pexels-photo-4491463.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/4491463/pexels-photo-4491463.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""React"", ""Automation"", ""Analytics"", ""Commerce""]",3.81,282,OUT_OF_STOCK,FALSE,FS-2043-018,223,2025-01-19T00:00:00Z,2025-01-19T06:00:00Z
Helix Charts Toolkit,helix-charts-toolkit,Helix Charts Toolkit to accelerate modern product teams.,"Helix Charts Toolkit provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",128.19,171.69,USD,https://images.pexels.com/photos/3182833/pexels-photo-3182833.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3182833/pexels-photo-3182833.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Editor Choice"", ""New""]","[""Design"", ""Marketing"", ""Motion"", ""Analytics""]",4.77,243,PREORDER,FALSE,FS-2044-019,30,2025-01-20T00:00:00Z,2025-01-20T06:00:00Z
Nimbus Commerce Checkout,nimbus-commerce-checkout,Nimbus Commerce Checkout to accelerate modern product teams.,"Nimbus Commerce Checkout provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",63.62,68.02,USD,https://images.pexels.com/photos/3184460/pexels-photo-3184460.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184460/pexels-photo-3184460.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Commerce"", ""Astro"", ""Docs"", ""Templates""]",3.61,374,IN_STOCK,TRUE,FS-2045-020,161,2025-01-21T00:00:00Z,2025-01-21T06:00:00Z
Signal Automation Recipes,signal-automation-recipes,Signal Automation Recipes to accelerate modern product teams.,"Signal Automation Recipes provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",29.6,,USD,https://images.pexels.com/photos/3861964/pexels-photo-3861964.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3861964/pexels-photo-3861964.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Motion"", ""UX""]",4.27,154,LOW_STOCK,FALSE,FS-2046-021,171,2025-01-22T00:00:00Z,2025-01-22T06:00:00Z
Nova Email Templates,nova-email-templates,Nova Email Templates to accelerate modern product teams.,"Nova Email Templates provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",106.37,128.9,USD,https://images.pexels.com/photos/3862608/pexels-photo-3862608.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3862608/pexels-photo-3862608.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Trending"", ""Editor Choice""]","[""Astro"", ""Analytics"", ""Marketing""]",3.85,61,OUT_OF_STOCK,FALSE,FS-2047-022,168,2025-01-23T00:00:00Z,2025-01-23T06:00:00Z
Tempo Scheduling Suite,tempo-scheduling-suite,Tempo Scheduling Suite to accelerate modern product teams.,"Tempo Scheduling Suite provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",96.59,113.69,USD,https://images.pexels.com/photos/3184466/pexels-photo-3184466.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184466/pexels-photo-3184466.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Editor Choice""]","[""Templates"", ""Automation""]",4.88,62,PREORDER,FALSE,FS-2048-023,15,2025-01-24T00:00:00Z,2025-01-24T06:00:00Z
Loop Feedback Forms,loop-feedback-forms,Loop Feedback Forms to accelerate modern product teams.,"Loop Feedback Forms provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",91.47,,USD,https://images.pexels.com/photos/3184461/pexels-photo-3184461.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184461/pexels-photo-3184461.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Bestseller""]","[""Astro"", ""Automation""]",4.3,83,IN_STOCK,TRUE,FS-2049-024,108,2025-01-25T00:00:00Z,2025-01-25T06:00:00Z
Summit Pricing Builder,summit-pricing-builder,Summit Pricing Builder to accelerate modern product teams.,"Summit Pricing Builder provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",52.03,61.85,USD,https://images.pexels.com/photos/3184465/pexels-photo-3184465.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184465/pexels-photo-3184465.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Commerce"", ""UX"", ""UI""]",4.45,288,LOW_STOCK,FALSE,FS-2050-025,214,2025-01-26T00:00:00Z,2025-01-26T06:00:00Z
Pilot Roadmap Canvas,pilot-roadmap-canvas,Pilot Roadmap Canvas to accelerate modern product teams.,"Pilot Roadmap Canvas provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",21.66,23.35,USD,https://images.pexels.com/photos/3861972/pexels-photo-3861972.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3861972/pexels-photo-3861972.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Marketing"", ""Analytics""]",4.23,217,OUT_OF_STOCK,FALSE,FS-2051-026,231,2025-01-27T00:00:00Z,2025-01-27T06:00:00Z
Merge Collaboration Kit,merge-collaboration-kit,Merge Collaboration Kit to accelerate modern product teams.,"Merge Collaboration Kit provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",29.55,,USD,https://images.pexels.com/photos/3184287/pexels-photo-3184287.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184287/pexels-photo-3184287.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Bestseller""]","[""Design"", ""Analytics"", ""Automation""]",4.15,386,PREORDER,FALSE,FS-2052-027,200,2025-01-28T00:00:00Z,2025-01-28T06:00:00Z
Ripple Audio Player,ripple-audio-player,Ripple Audio Player to accelerate modern product teams.,"Ripple Audio Player provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",119.04,150.65,USD,https://images.pexels.com/photos/3184296/pexels-photo-3184296.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184296/pexels-photo-3184296.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Design"", ""Astro""]",4.86,308,IN_STOCK,TRUE,FS-2053-028,188,2025-01-29T00:00:00Z,2025-01-29T06:00:00Z
Tonic Video Player,tonic-video-player,Tonic Video Player to accelerate modern product teams.,"Tonic Video Player provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",116.6,148.59,USD,https://images.pexels.com/photos/1181244/pexels-photo-1181244.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/1181244/pexels-photo-1181244.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Docs"", ""Analytics""]",4.25,283,LOW_STOCK,FALSE,FS-2054-029,40,2025-01-30T00:00:00Z,2025-01-30T06:00:00Z
Flux Timeline Pack,flux-timeline-pack,Flux Timeline Pack to accelerate modern product teams.,"Flux Timeline Pack provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",29.24,,USD,https://images.pexels.com/photos/4491463/pexels-photo-4491463.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/4491463/pexels-photo-4491463.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Bestseller"", ""New""]","[""Docs"", ""UX""]",4.48,132,OUT_OF_STOCK,FALSE,FS-2055-030,103,2025-01-31T00:00:00Z,2025-01-31T06:00:00Z
Glyph Icon Essentials,glyph-icon-essentials,Glyph Icon Essentials to accelerate modern product teams.,"Glyph Icon Essentials provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",40.58,53.45,USD,https://images.pexels.com/photos/3182833/pexels-photo-3182833.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3182833/pexels-photo-3182833.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Docs"", ""UI"", ""Automation"", ""UX""]",4.14,310,PREORDER,FALSE,FS-2056-031,144,2025-02-01T00:00:00Z,2025-02-01T06:00:00Z
Orbit Checkout Modal,orbit-checkout-modal,Orbit Checkout Modal to accelerate modern product teams.,"Orbit Checkout Modal provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",113.1,150.47,USD,https://images.pexels.com/photos/3184460/pexels-photo-3184460.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184460/pexels-photo-3184460.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Automation"", ""Motion"", ""Astro"", ""Design""]",4.11,355,IN_STOCK,TRUE,FS-2057-032,165,2025-02-02T00:00:00Z,2025-02-02T06:00:00Z
Vector Hero Library,vector-hero-library,Vector Hero Library to accelerate modern product teams.,"Vector Hero Library provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",73.0,,USD,https://images.pexels.com/photos/3861964/pexels-photo-3861964.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3861964/pexels-photo-3861964.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Bestseller""]","[""Analytics"", ""Docs""]",4.9,63,LOW_STOCK,FALSE,FS-2058-033,18,2025-02-03T00:00:00Z,2025-02-03T06:00:00Z
Lattice Data Grid,lattice-data-grid,Lattice Data Grid to accelerate modern product teams.,"Lattice Data Grid provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",115.77,139.13,USD,https://images.pexels.com/photos/3862608/pexels-photo-3862608.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3862608/pexels-photo-3862608.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""UX"", ""Astro"", ""Motion""]",3.97,236,OUT_OF_STOCK,FALSE,FS-2059-034,213,2025-02-04T00:00:00Z,2025-02-04T06:00:00Z
Zen Support Portal,zen-support-portal,Zen Support Portal to accelerate modern product teams.,"Zen Support Portal provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",116.78,133.22,USD,https://images.pexels.com/photos/3184466/pexels-photo-3184466.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184466/pexels-photo-3184466.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Trending"", ""Bestseller""]","[""Commerce"", ""Design"", ""UX"", ""React""]",3.94,66,PREORDER,FALSE,FS-2060-035,190,2025-02-05T00:00:00Z,2025-02-05T06:00:00Z
Prism Gradient Bundle,prism-gradient-bundle,Prism Gradient Bundle to accelerate modern product teams.,"Prism Gradient Bundle provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",118.58,,USD,https://images.pexels.com/photos/3184461/pexels-photo-3184461.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184461/pexels-photo-3184461.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Staff Pick""]","[""Astro"", ""Motion"", ""Automation"", ""Design""]",4.26,140,IN_STOCK,TRUE,FS-2061-036,231,2025-02-06T00:00:00Z,2025-02-06T06:00:00Z
Momentum Launch Page,momentum-launch-page,Momentum Launch Page to accelerate modern product teams.,"Momentum Launch Page provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",182.47,194.37,USD,https://images.pexels.com/photos/3184465/pexels-photo-3184465.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184465/pexels-photo-3184465.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Limited"", ""Staff Pick""]","[""UI"", ""Motion""]",4.6,338,LOW_STOCK,FALSE,FS-2062-037,250,2025-02-07T00:00:00Z,2025-02-07T06:00:00Z
Stellar SaaS Shell,stellar-saas-shell,Stellar SaaS Shell to accelerate modern product teams.,"Stellar SaaS Shell provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",66.15,84.17,USD,https://images.pexels.com/photos/3861972/pexels-photo-3861972.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3861972/pexels-photo-3861972.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Editor Choice"", ""Limited""]","[""UI"", ""UX"", ""Templates"", ""React""]",4.31,201,OUT_OF_STOCK,FALSE,FS-2063-038,149,2025-02-08T00:00:00Z,2025-02-08T06:00:00Z
Canvas Portfolio Stack,canvas-portfolio-stack,Canvas Portfolio Stack to accelerate modern product teams.,"Canvas Portfolio Stack provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",118.45,,USD,https://images.pexels.com/photos/3184287/pexels-photo-3184287.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184287/pexels-photo-3184287.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""New""]","[""Design"", ""Motion""]",4.77,419,PREORDER,FALSE,FS-2064-039,248,2025-02-09T00:00:00Z,2025-02-09T06:00:00Z
Nimbus Feature Flags,nimbus-feature-flags,Nimbus Feature Flags to accelerate modern product teams.,"Nimbus Feature Flags provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",173.93,229.53,USD,https://images.pexels.com/photos/3184296/pexels-photo-3184296.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184296/pexels-photo-3184296.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""Astro"", ""Templates"", ""UX"", ""Motion""]",4.61,220,IN_STOCK,TRUE,FS-2065-040,249,2025-02-10T00:00:00Z,2025-02-10T06:00:00Z
Beacon Alert Banners,beacon-alert-banners,Beacon Alert Banners to accelerate modern product teams.,"Beacon Alert Banners provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",130.72,143.32,USD,https://images.pexels.com/photos/1181244/pexels-photo-1181244.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/1181244/pexels-photo-1181244.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,[],"[""React"", ""Marketing""]",3.63,389,LOW_STOCK,FALSE,FS-2066-041,236,2025-02-11T00:00:00Z,2025-02-11T06:00:00Z
Constellation Navigation,constellation-navigation,Constellation Navigation to accelerate modern product teams.,"Constellation Navigation provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",78.79,,USD,https://images.pexels.com/photos/4491463/pexels-photo-4491463.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/4491463/pexels-photo-4491463.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Editor Choice""]","[""Astro"", ""Design"", ""React"", ""UX""]",4.1,31,OUT_OF_STOCK,FALSE,FS-2067-042,219,2025-02-12T00:00:00Z,2025-02-12T06:00:00Z
Echo Voice Commands,echo-voice-commands,Echo Voice Commands to accelerate modern product teams.,"Echo Voice Commands provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",103.72,115.12,USD,https://images.pexels.com/photos/3182833/pexels-photo-3182833.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3182833/pexels-photo-3182833.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Staff Pick""]","[""Astro"", ""Automation"", ""UI""]",4.46,216,PREORDER,FALSE,FS-2068-043,84,2025-02-13T00:00:00Z,2025-02-13T06:00:00Z
Vertex Changelog Feed,vertex-changelog-feed,Vertex Changelog Feed to accelerate modern product teams.,"Vertex Changelog Feed provides reusable components, patterns, and assets tailored for fast-moving SaaS teams.",69.15,74.05,USD,https://images.pexels.com/photos/3184460/pexels-photo-3184460.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=1200&h=900,https://images.pexels.com/photos/3184460/pexels-photo-3184460.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=400&h=400,"[""Staff Pick""]","[""Commerce"", ""Marketing"", ""Automation"", ""Motion""]",4.82,71,IN_STOCK,TRUE,FS-2069-044,224,2025-02-14T00:00:00Z,2025-02-14T06:00:00Z
